Series;Time;Value
Usable Cores;2018-03-23T01:00:00+01:00;26748.394444444446
Usable Cores;2018-03-23T13:00:00+01:00;26798.06388888889
Usable Cores;2018-03-24T01:00:00+01:00;26781.794444444444
Usable Cores;2018-03-24T13:00:00+01:00;26757
Usable Cores;2018-03-25T01:00:00+01:00;26723.308333333334
Usable Cores;2018-03-25T14:00:00+02:00;26712.519444444446
Usable Cores;2018-03-26T02:00:00+02:00;27287.338888888888
Usable Cores;2018-03-26T14:00:00+02:00;28042.32222222222
Usable Cores;2018-03-27T02:00:00+02:00;28057.36388888889
Usable Cores;2018-03-27T14:00:00+02:00;28114.411111111112
Usable Cores;2018-03-28T02:00:00+02:00;28077.594444444443
Usable Cores;2018-03-28T14:00:00+02:00;28113.62222222222
Usable Cores;2018-03-29T02:00:00+02:00;28096.852777777778
Usable Cores;2018-03-29T14:00:00+02:00;28084.847222222223
Usable Cores;2018-03-30T02:00:00+02:00;28044.38611111111
Usable Cores;2018-03-30T14:00:00+02:00;28012.9
Usable Cores;2018-03-31T02:00:00+02:00;27789.633333333335
Usable Cores;2018-03-31T14:00:00+02:00;26674.294444444444
Usable Cores;2018-04-01T02:00:00+02:00;26666.258333333335
Usable Cores;2018-04-01T14:00:00+02:00;26635
Usable Cores;2018-04-02T02:00:00+02:00;26534.258333333335
Usable Cores;2018-04-02T14:00:00+02:00;26458.92777777778
Usable Cores;2018-04-03T02:00:00+02:00;26862.025
Usable Cores;2018-04-03T14:00:00+02:00;28045.047222222223
Usable Cores;2018-04-04T02:00:00+02:00;28076.883333333335
Usable Cores;2018-04-04T14:00:00+02:00;28115.666666666668
Usable Cores;2018-04-05T02:00:00+02:00;28067.408333333333
Usable Cores;2018-04-05T14:00:00+02:00;28080.75
Usable Cores;2018-04-06T02:00:00+02:00;28012.43888888889
Usable Cores;2018-04-06T14:00:00+02:00;27924.847222222223
Usable Cores;2018-04-07T02:00:00+02:00;27860.99722222222
Usable Cores;2018-04-07T14:00:00+02:00;27860.994444444445
Usable Cores;2018-04-08T02:00:00+02:00;27830.416666666668
Usable Cores;2018-04-08T14:00:00+02:00;27819.755555555555
Usable Cores;2018-04-09T02:00:00+02:00;27850.402777777777
Usable Cores;2018-04-09T14:00:00+02:00;27324.330578512396
Usable Cores;2018-04-10T02:00:00+02:00;26907.466666666667
Usable Cores;2018-04-10T14:00:00+02:00;27888.419444444444
Usable Cores;2018-04-11T02:00:00+02:00;27363.666666666668
Usable Cores;2018-04-11T14:00:00+02:00;25506.580555555556
Usable Cores;2018-04-12T02:00:00+02:00;24488.380555555555
Usable Cores;2018-04-12T14:00:00+02:00;24327.916666666668
